EU003591	Vasilakis,N., Tesh,R.B. and Weaver,S.C.
EU005258	Huhtamo,E., Uzcategui,N.Y., Siikamaki,H., Saarinen,A., Piiparinen,H., Vaheri,A. and Vapalahti,O.
EU005251	Huhtamo,E., Uzcategui,N.Y., Siikamaki,H., Saarinen,A., Piiparinen,H., Vaheri,A. and Vapalahti,O.
FJ502943	Domingo,C.

FJ502864	Domingo,C.

EU448412	Shu,P.-Y., Huang,J.-H., Su,C.-L., Liao,T.-L., Yang,C.-F., Chang,S.-F., Lin,C.-C. and Chang,M.-C.
JX080289	Caron,M. and Leroy,E.

JX080295	Caron,M. and Leroy,E.

FJ502863	Domingo,C.

FJ502975	Domingo,C.

MZ857222	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
JX080294	Caron,M. and Leroy,E.

KT187284	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
KT187283	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
KT187282	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
JX080296	Caron,M. and Leroy,E.

JX080293	Caron,M. and Leroy,E.

KT187285	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
KT187281	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
KU509282	Cadar,D. and Schmidt-Chanasit,J.

JX080290	Caron,M. and Leroy,E.

JX080291	Caron,M. and Leroy,E.

JX080299	Caron,M. and Leroy,E.

JX080297	Caron,M. and Leroy,E.

JX080298	Caron,M. and Leroy,E.

JX080292	Caron,M. and Leroy,E.

KT187291	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
KT187290	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
KT187289	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
KU509258	Cadar,D. and Schmidt-Chanasit,J.

MZ857203	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
KC848579	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848586	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848582	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848588	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848578	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848577	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848581	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848580	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848584	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848589	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848587	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848583	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848585	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KC848576	Santiago,G.A., Medina,J.F., Colon,C. and Munoz-Jordan,J.L.

KT187293	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
KT187292	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
MZ857204	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
OK040060	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
KT187295	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
KT187294	Monteil,V.M., Caro,V., Maquart,M., Jaffar-Bandjee,M.-C., Grandadam,M. and Leparc-Goffart,I.
MG877557	Fontaine,A., Lequime,S., Moltini-Conclois,I., Jiolle,D., Leparc-Goffart,I., Reiner,R.C. Jr. and Lambrechts,L.
KM277610	Santiago,G.A., Merolle,A., Rebello-Cardoso,Y. and Munoz-Jordan,J.L.

KM277614	Santiago,G.A., Merolle,A., Rebello-Cardoso,Y. and Munoz-Jordan,J.L.

KM277612	Santiago,G.A., Merolle,A., Rebello-Cardoso,Y. and Munoz-Jordan,J.L.

KM277613	Santiago,G.A., Merolle,A., Rebello-Cardoso,Y. and Munoz-Jordan,J.L.

KM277611	Santiago,G.A., Merolle,A., Rebello-Cardoso,Y. and Munoz-Jordan,J.L.

MZ857205	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MZ857206	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MZ857208	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MZ857209	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
KU577449	Gomes,E., Guedes,D.R.D., Paiva,M.H.S., Krokovsky,L., Melo-Santos,M.A.V., Gomez,L.F. and Ayres,C.F.J.
KU577448	Gomes,E., Guedes,D.R.D., Paiva,M.H.S., Krokovsky,L., Melo-Santos,M.A.V., Gomez,L.F. and Ayres,C.F.J.
KU577447	Gomes,E., Guedes,D.R.D., Paiva,M.H.S., Krokovsky,L., Melo-Santos,M.A.V., Gomez,L.F. and Ayres,C.F.J.
KU577446	Gomes,E., Guedes,D.R.D., Paiva,M.H.S., Krokovsky,L., Melo-Santos,M.A.V., Gomez,L.F. and Ayres,C.F.J.
KU577445	Gomes,E., Guedes,D.R.D., Paiva,M.H.S., Krokovsky,L., Melo-Santos,M.A.V., Gomez,L.F. and Ayres,C.F.J.
KU509307	Cadar,D. and Schmidt-Chanasit,J.

LC379220	Hayashi,T., Bonney,J.H., Dadzie,S., Agbosu,E., Asiedu-Bekoe,F., Ido,E., Pratt,D., Sarkodie,B., Ohta,N. and Yamaoka,S.
LC379221	Hayashi,T., Bonney,J.H., Dadzie,S., Agbosu,E., Asiedu-Bekoe,F., Ido,E., Pratt,D., Sarkodie,B., Ohta,N. and Yamaoka,S.
LC379222	Hayashi,T., Bonney,J.H., Dadzie,S., Agbosu,E., Asiedu-Bekoe,F., Ido,E., Pratt,D., Sarkodie,B., Ohta,N. and Yamaoka,S.
LC379223	Hayashi,T., Bonney,J.H., Dadzie,S., Agbosu,E., Asiedu-Bekoe,F., Ido,E., Pratt,D., Sarkodie,B., Ohta,N. and Yamaoka,S.
LC379224	Hayashi,T., Bonney,J.H., Dadzie,S., Agbosu,E., Asiedu-Bekoe,F., Ido,E., Pratt,D., Sarkodie,B., Ohta,N. and Yamaoka,S.
MZ857210	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MZ857211	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MZ857212	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MZ857214	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
KY815103	Mahumane Gundane,I., Oludele,J., Lesko,B., Muianga,A., Ali,S., Pinto,G., Mula,F., Chelene,I., Chongo,I., Antonio,V., Agostinho,S., Mendes,S., de Bruycker Nogueira,F., dos Santos,F.B., Falk,K.I. and Gudo,E.S.
KY815104	Mahumane Gundane,I., Oludele,J., Lesko,B., Muianga,A., Ali,S., Pinto,G., Mula,F., Chelene,I., Chongo,I., Antonio,V., Agostinho,S., Mendes,S., de Bruycker Nogueira,F., dos Santos,F.B., Falk,K.I. and Gudo,E.S.
KY815105	Mahumane Gundane,I., Oludele,J., Lesko,B., Muianga,A., Ali,S., Pinto,G., Mula,F., Chelene,I., Chongo,I., Antonio,V., Agostinho,S., Mendes,S., de Bruycker Nogueira,F., dos Santos,F.B., Falk,K.I. and Gudo,E.S.
MZ857215	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MZ857216	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
OK040059	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MG779194	Kimita,G., Nyataya,J.N., Mutai,B.K. and Waitumbi,J.N.

MG779195	Kimita,G., Nyataya,J.N., Mutai,B.K. and Waitumbi,J.N.

MG779196	Kimita,G., Nyataya,J.N., Mutai,B.K. and Waitumbi,J.N.

MG779197	Kimita,G., Nyataya,J.N., Mutai,B.K. and Waitumbi,J.N.

MG779198	Kimita,G., Nyataya,J.N., Mutai,B.K. and Waitumbi,J.N.

MG779199	Kimita,G., Nyataya,J.N., Mutai,B.K. and Waitumbi,J.N.

MG779200	Kimita,G., Nyataya,J.N., Mutai,B.K. and Waitumbi,J.N.

MG779201	Kimita,G., Nyataya,J.N., Mutai,B.K. and Waitumbi,J.N.

MG779202	Kimita,G., Nyataya,J.N., Mutai,B.K. and Waitumbi,J.N.

MG779203	Kimita,G., Nyataya,J.N., Mutai,B.K. and Waitumbi,J.N.

MH729985	Wang,J., Zhang,Y., You,L., Kan,N., Lin,Q., Weng,Y. and Zheng,K.

MZ857218	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MZ857220	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MZ857221	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
LC666718	Hayashi,T. and Yamaoka,S.

LC666719	Hayashi,T. and Yamaoka,S.

OK384579	Stoek,F., Barry,Y., Sadeghi,B., Wylezich,C., Ba,A., Schulz,A., Rissmann,M., Beyit,A.D., Eisenbarth,A., Ndiaye,F.B., Haki,M.L., Doumbia,A.B., Gueya,M.B., Ould Bah,M.Y., Eiden,M. and Groschup,M.H.
OK384856	Stoek,F., Barry,Y., Sadeghi,B., Wylezich,C., Ba,A., Schulz,A., Rissmann,M., Beyit,A.D., Eisenbarth,A., Ndiaye,F.B., Haki,M.L., Doumbia,A.B., Gueya,M.B., Ould Bah,M.Y., Eiden,M. and Groschup,M.H.
LC462951	Maeki,T., Tajima,S., Taniguchi,S., Lim,C.K. and Suzuki,T.

