EU003591	Vasilakis,N., Tesh,R.B. and Weaver,S.C.
MT076955	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076934	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076935	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076947	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076939	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076948	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076951	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076938	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076940	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076949	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076950	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076952	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076953	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076954	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076941	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MW243063	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MK940790	Dieng,I.

MK940791	Dieng,I.

MT076936	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076960	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076961	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076942	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076944	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076945	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076962	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
OM679998	dimore,g.G.

MT076943	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076956	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076957	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076958	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
LC379198	Abe,H., Ushijima,Y., Loembe,M.M., Agnandji,S.T., Kurosaki,Y., Lell,B. and Yasuda,J.
MK473384	Masika,M.M., Korhonen,E.M., Smura,T., Uusitalo,R., Mwaengo,D., Jaaskelainen,A.J., Anzala,O., Vapalahti,O. and Huhtamo,E.
MK473386	Masika,M.M., Korhonen,E.M., Smura,T., Uusitalo,R., Mwaengo,D., Jaaskelainen,A.J., Anzala,O., Vapalahti,O. and Huhtamo,E.
MN272405	Mavingui,P., Toty,C. and Pascalis,H.

MK473385	Masika,M.M., Korhonen,E.M., Smura,T., Uusitalo,R., Mwaengo,D., Jaaskelainen,A.J., Anzala,O., Vapalahti,O. and Huhtamo,E.
LC379193	Abe,H., Ushijima,Y., Loembe,M.M., Agnandji,S.T., Kurosaki,Y., Lell,B. and Yasuda,J.
MT982919	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
LC379194	Abe,H., Ushijima,Y., Loembe,M.M., Agnandji,S.T., Kurosaki,Y., Lell,B. and Yasuda,J.
LC379199	Abe,H., Ushijima,Y., Loembe,M.M., Agnandji,S.T., Kurosaki,Y., Lell,B. and Yasuda,J.
MW243006	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MK473383	Masika,M.M., Korhonen,E.M., Smura,T., Uusitalo,R., Mwaengo,D., Jaaskelainen,A.J., Anzala,O., Vapalahti,O. and Huhtamo,E.
LC379200	Abe,H., Ushijima,Y., Loembe,M.M., Agnandji,S.T., Kurosaki,Y., Lell,B. and Yasuda,J.
LC379195	Abe,H., Ushijima,Y., Loembe,M.M., Agnandji,S.T., Kurosaki,Y., Lell,B. and Yasuda,J.
LC379201	Abe,H., Ushijima,Y., Loembe,M.M., Agnandji,S.T., Kurosaki,Y., Lell,B. and Yasuda,J.
LC379196	Abe,H., Ushijima,Y., Loembe,M.M., Agnandji,S.T., Kurosaki,Y., Lell,B. and Yasuda,J.
LC379202	Abe,H., Ushijima,Y., Loembe,M.M., Agnandji,S.T., Kurosaki,Y., Lell,B. and Yasuda,J.
MT076959	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT982731	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
KY627762	Baronti,c. and Piorkowski,G.

KY627763	baronti,c. and Piorkowski,G.

MN335247	Maljkovic Berry,I., Rutvisuttinunt,W., Figueroa,K., Srikanth,A. and Jarman,R.G.
MH802055	Demanou,M., Sado,F.B.Y., Simo,F.B.N., Ateuchia,S.N. and Obam,F.M.M.

MH802056	Demanou,M., Sado,F.B.Y., Simo,F.B.N., Ateuchia,S.N. and Obam,F.M.M.

MH802057	Demanou,M., Sado,F.B.Y., Simo,F.B.N., Ateuchia,S.N. and Obam,F.M.M.

MH802054	Demanou,M., Sado,F.B.Y., Simo,F.B.N., Ateuchia,S.N. and Obam,F.M.M.

MH802053	Demanou,M., Sado,F.B.Y., Simo,F.B.N., Ateuchia,S.N. and Obam,F.M.M.

LC379197	Abe,H., Ushijima,Y., Loembe,M.M., Agnandji,S.T., Kurosaki,Y., Lell,B. and Yasuda,J.
OL469512	Dieng,I.

OL469513	Dieng,I.

MG937762	Amoako,N., Awandare,G.A. and Duodu,S.

MG937763	Amoako,N., Awandare,G.A. and Duodu,S.

MN335245	Maljkovic Berry,I., Rutvisuttinunt,W., Figueroa,K., Srikanth,A. and Jarman,R.G.
MN335244	Maljkovic Berry,I., Rutvisuttinunt,W., Figueroa,K., Srikanth,A. and Jarman,R.G.
LC310791	Taniguchi,S., Lim,C.K., Tajima,S., Maeki,T. and Kutsuna,S.

MT076946	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MN577553	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
MN577554	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
